l_R,d_R,k_d,CT,CT_ratio
0.3,1.7700000000000014,4.722238456742566,0.0078279438785023,1.0250204328083747
0.3,1.7800000000000014,4.722238456742566,0.0078253711039343,1.024683544023511
0.3,1.7900000000000014,4.722238456742566,0.0078228242877492,1.0243500543270014
0.3,1.8000000000000014,4.722238456742566,0.0078203030760724,1.0240199173811744
0.3,1.8100000000000012,4.722238456742566,0.0078178071219157,1.0236930877500885
0.3,1.8200000000000012,4.722238456742566,0.0078153360864498,1.0233695210661604
0.3,1.8300000000000012,4.722238456742566,0.0078128896369337,1.0230491737590315
0.3,1.8400000000000012,4.722238456742566,0.0078104674434337,1.0227320026259406
0.3,1.8500000000000012,4.722238456742566,0.0078080691844894,1.0224179655736536
0.3,1.8600000000000012,4.722238456742566,0.0078056945434225,1.022107021135122
0.3,1.8700000000000012,4.722238456742566,0.0078033432114491,1.0217991288770196
0.3,1.8800000000000012,4.722238456742566,0.0078010148847008,1.0214942490096746
0.3,1.8900000000000012,4.722238456742566,0.0077987092645566,1.0211923424305294
0.3,1.9000000000000012,4.722238456742566,0.0077963769734576,1.0208869434561834
0.3,1.9100000000000013,4.722238456742566,0.0077941159502434,1.020590876566898
0.3,1.9200000000000013,4.722238456742566,0.0077918767686051,1.0202976696957642
0.3,1.9300000000000013,4.722238456742566,0.0077896591505012,1.0200072864349814
0.3,1.9400000000000013,4.722238456742566,0.0077874628227142,1.019719691008422
0.3,1.9500000000000013,4.722238456742566,0.0077852875167305,1.019434848255905
0.3,1.9600000000000013,4.722238456742566,0.0077831329686263,1.019152723618254
0.3,1.9700000000000013,4.722238456742566,0.007780998918957,1.0188732831228173
0.3,1.980000000000001,4.722238456742566,0.0077788851126451,1.0185964933687865
0.3,1.990000000000001,4.722238456742566,0.0077767912988822,1.0183223215143662
0.3,10.0,4.722238456742566,0.0074874706218785,0.980437583176221
0.31,0.3,4.8670546971530095,0.0095498871117544,1.250498160499649
0.31,0.31,4.8670546971530095,0.0094905918899892,1.242733820997401
0.31,0.32,4.8670546971530095,0.0094345077693396,1.2353899551605745
0.31,0.33,4.8670546971530095,0.0093813983813649,1.2284356120159439
0.31,0.34,4.8670546971530095,0.0093310567839035,1.2218436937780193
0.31,0.35,4.8670546971530095,0.0092832807919049,1.2155877255753418
0.31,0.36,4.8670546971530095,0.009237857622965,1.2096398448790877
0.31,0.37,4.8670546971530095,0.0091946809837196,1.2039861332361017
0.31,0.38,4.8670546971530095,0.0091535694825757,1.198602838548508
0.31,0.39,4.8670546971530095,0.0091143566851935,1.1934681672774587
0.31,0.4000000000000001,4.8670546971530095,0.0090769708906602,1.188572730635578
0.31,0.4100000000000001,4.8670546971530095,0.0090412391347493,1.1838938800360765
0.31,0.4200000000000001,4.8670546971530095,0.0090070849091937,1.179421597198513
0.31,0.4300000000000001,4.8670546971530095,0.0089744082298711,1.1751427898256117
